"Field1","Field2_Text","Field3"
"What I learned from 100 days of rejection | Jia Jiang                                                                                                                              Verified            2.4M views2 years ago","What I learned from 100 days of rejection | Jia Jiang","2.4M views"
"Conception to birth -- visualized | Alexander Tsiaras                                                                                                                              Verified            2.4M views8 years ago","Conception to birth -- visualized | Alexander Tsiaras","2.4M views"
"Close-up card magic with a twist | Lennart Green                                                                                                                              Verified            2.3M views11 years ago","Close-up card magic with a twist | Lennart Green","2.3M views"
"Are you a giver or a taker? | Adam Grant                                                                                                                              Verified            2.3M views2 years ago","Are you a giver or a taker? | Adam Grant","2.3M views"
"Lessons from death row inmates | David R. Dow                                                                                                                              Verified            2.3M views7 years ago","Lessons from death row inmates | David R. Dow","2.3M views"
"How we take back the internet | Edward Snowden                                                                                                                              Verified            2.3M views5 years ago","How we take back the internet | Edward Snowden","2.3M views"
"Why do we sleep? | Russell Foster                                                                                                                              Verified            2.3M views6 years ago","Why do we sleep? | Russell Foster","2.3M views"
"Why you should make useless things | Simone Giertz                                                                                                                              Verified            2.3M views1 year ago","Why you should make useless things | Simone Giertz","2.3M views"
"This is what it's like to go undercover in North Korea | Suki Kim                                                                                                                              Verified            2.3M views4 years ago","This is what it's like to go undercover in North Korea | Suki Kim","2.3M views"
"What Islam really says about women | Alaa Murabit                                                                                                                              Verified            2.3M views4 years ago","What Islam really says about women | Alaa Murabit","2.3M views"
"The habits of happiness | Matthieu Ricard                                                                                                                              Verified            2.3M views11 years ago","The habits of happiness | Matthieu Ricard","2.3M views"
"What a driverless world could look like | Wanis Kabbaj                                                                                                                              Verified            2.2M views3 years ago","What a driverless world could look like | Wanis Kabbaj","2.2M views"
"Secrets of success in 8 words, 3 minutes | Richard St. John                                                                                                                              Verified            2.2M views12 years ago","Secrets of success in 8 words, 3 minutes | Richard St. John","2.2M views"
"Innovating to zero! | Bill Gates                                                                                                                              Verified            2.2M views9 years ago","Innovating to zero! | Bill Gates","2.2M views"
"Want to be happy? Be grateful | David Steindl-Rast                                                                                                                              Verified            2.2M views6 years ago","Want to be happy? Be grateful | David Steindl-Rast","2.2M views"
"Sebastian Junger: Why veterans miss war                                                                                                                              Verified            2.2M views5 years ago","Sebastian Junger: Why veterans miss war","2.2M views"
"Meet Spot, the robot dog that can run, hop and open doors | Marc Raibert                                                                                                                              Verified            2.2M views2 years ago","Meet Spot, the robot dog that can run, hop and open doors | Marc Raibert","2.2M views"
"Why giving away our wealth has been the most satisfying thing we've done... | Bill and Melinda Gates                                                                                                                              Verified            2.2M views5 years ago","Why giving away our wealth has been the most satisfying thing we've done... | Bill and Melinda Gates","2.2M views"
